"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
24,"NCT03714672","Tramadol/Diclofenac Fixed-dose Combination Phase III Trial in Acute Pain After Third Molar Extraction",,"Completed","Has Results","Acute Pain","Drug: Tramadol/Diclofenac 50/50|Drug: Tramadol/Diclofenac 25/25|Drug: Tramadol 50|Drug: Diclofenac 50","Pain Relief Expressed as Total Pain Relief (TOTPAR) Over the 4 Hours Post-dose Period (TOTPAR4)|Total Pain Relief at 6 Hours Post-dose (TOTPAR6)|Total Pain Relief at 8 Hours Post-dose (TOTPAR8)|Summed Pain Intensity Difference (SPID) at 4, 6, 8, and 24 Hours Post-dose|Time to Achieve a 50 Percent Reduction in Baseline Pain (Pain at Least Half Gone)|Time to Onset of First Perceptible Pain Relief|Time to Onset of Meaningful Pain Relief|Time to Intake of First Rescue Medication Dose|Subject's Global Evaluation of the Treatment|Incidence and Type of Adverse Events","Grünenthal GmbH|Grünenthal, S.A.","All","18 Years to 60 Years   (Adult)","Phase 3","1151","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","KF8001-01|U1111-1179-2333","August 26, 2017","March 9, 2018","March 22, 2018","October 22, 2018","July 24, 2019","July 24, 2019","Private Clinic, Zapopan, Jalisco, Mexico|Private Clinic, Monterrey, Nuevo León, Mexico|Private Clinic, Monterrey, Nuevo León, Mexico|Private Clinic, Aguascalientes, Mexico|Private Clinic, Chihuahua, Mexico|Private Clinic, Leon Guanajuato, Mexico|Private Clinic, Puebla, Mexico|University, San Luis Potosí, Mexico","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/72/NCT03714672/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/72/NCT03714672/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03714672"
25,"NCT03708744","A Study of M207 With Intranasal Zolmitriptan in Healthy Volunteers",,"Completed","Has Results","Migraine","Drug: A: M207 3.8mg, 30 min, upper arm|Drug: B: M207 3.8 mg, 30 min, thigh|Drug: C: M207 3.8 mg, 1 hr, upper arm|Drug: D:zolmitriptan nasal spray","Cmax|Adverse Events|t(1/2)","Zosano Pharma Corporation","All","18 Years to 50 Years   (Adult)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","CP-2018-002","November 1, 2018","November 20, 2018","November 20, 2018","October 17, 2018","December 23, 2019","December 23, 2019","Hill Top Research, Inc., Neptune, New Jersey, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03708744/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/44/NCT03708744/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03708744"
26,"NCT03707821","Design Validation of Senofilcon A With New UV-blocking Additive",,"Completed","Has Results","Visual Acuity","Device: senofilcon A TEST Lens|Device: senofilcon A CONTROL Lens","Overall Comfort Score|Vision Satisfaction in Bright Lighting|Distance Visual Acuity|Contact Lens Fitting Acceptance Rate|Number of Grade 3 or Higher Slit Lamp Findings|Overall Handling Score|Overall Quality of Vision Score","Johnson & Johnson Vision Care, Inc.","All","18 Years to 49 Years   (Adult)","Not Applicable","253","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","CR-6305","October 1, 2018","November 1, 2018","November 1, 2018","October 16, 2018","December 5, 2019","December 5, 2019","James T. Fujimoto, OD, Cupertino, California, United States|Maitland Vision Center, Maitland, Florida, United States|Tallahassee Eye Center, Tallahassee, Florida, United States|Eyecare Associates LLP, Bloomington, Illinois, United States|Kannarr Eye Care, Pittsburg, Kansas, United States|ProCare Vision Centers, Granville, Ohio, United States|Professional Vision Care, Inc, Westerville, Ohio, United States|Bradley Hines, OD, Memphis, Tennessee, United States|Frazier Vision, Inc, Tyler, Texas, United States|Ziegler Leffingwell Eyecare, New Berlin, Wisconsin, United States","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/21/NCT03707821/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/21/NCT03707821/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT03707821"
27,"NCT03706469","A Study to Evaluate the Relative Bioavailability (BA) and Effect of Food on TAK-831 Tablet Formulations in Healthy Participants",,"Completed","Has Results","Healthy Volunteers","Drug: TAK-831 T2|Drug: TAK-831 T3","AUClast: Area Under the Plasma Concentration-time Curve From Time 0 to the Time of the Last Quantifiable Concentration for TAK-831|AUC∞: Area Under the Plasma Concentration-time Curve From Time 0 to Infinity for TAK-831|Cmax: Maximum Observed Plasma Concentration for TAK-831|Percentage of Participants Who Experience at Least One Treatment Emergent Adverse Event (TEAE)","Millennium Pharmaceuticals, Inc.|Takeda","All","19 Years to 55 Years   (Adult)","Phase 1","16","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Other","TAK-831-1006|U1111-1217-5483","October 18, 2018","December 11, 2018","December 22, 2018","October 16, 2018","December 23, 2019","December 23, 2019","Celerion, Lincoln, Nebraska, United States","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT03706469/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/69/NCT03706469/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03706469"
28,"NCT03698591","Testing a Neurocognitive Model of Distancing Using Transcranial Magnetic Stimulation.",,"Completed","Has Results","Emotion Regulation|Real Versus Sham Transcranial Magnetic Stimulation (TMS)","Device: Transcranial magnetic stimulation task|Device: Sham transcranial magnetic stimulation task","Change in Self-reported Valence (Distancing) From Baseline to 30 Minutes Post Stimulation.|Change in Self-reported Effort (Distancing) From Baseline to 30 Minutes Post Stimulation.","Duke University","All","18 Years to 39 Years   (Adult)","Not Applicable","40","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science","Pro00100171","October 31, 2018","May 24, 2019","May 24, 2019","October 9, 2018","December 10, 2019","December 17, 2019","LaBar Lab, Duke University, Durham, North Carolina, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/91/NCT03698591/Prot_SAP_002.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/91/NCT03698591/ICF_003.pdf","https://ClinicalTrials.gov/show/NCT03698591"
29,"NCT03693950","The Study of PK, PD, Safety of Multiple Intravenous Injections of BCD-066 and Aranesp in Healthy Volunteers",,"Completed","Has Results","Healthy","Biological: BCD-066|Biological: Aranesp","AUC(0-72)|Cmax|T½|AUC(0-∞)|Tmax|Kel|CL","Biocad","Male","18 Years to 45 Years   (Adult)","Phase 1","57","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Other","BCD-066-3","March 28, 2017","July 3, 2017","July 3, 2017","October 3, 2018","July 1, 2019","July 1, 2019","BIOCAD, Saint Petersburg, Strelna, Russian Federation","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT03693950/ICF_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT03693950/SAP_001.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/50/NCT03693950/Prot_003.pdf","https://ClinicalTrials.gov/show/NCT03693950"
30,"NCT03685396","Patient Morbidity After Palatal Free Gingival Grafts With or Without PRF Membranes Coverage",,"Completed","Has Results","Postoperative Pain|Postoperative Complications|Gingival Recession","Biological: Platelet rich fibrin ( PRF)|Drug: hemostatic agents with oxidized and regenerated cellulosa","Post-operative Pain: VAS|Post-operative Discomfort|Post-operative Stress|Post-operative Inability to Chew","Azienda Ospedaliera San Paolo","All","18 Years to 60 Years   (Adult)","Not Applicable","42","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PRF","November 27, 2017","July 23, 2018","September 9, 2018","September 26, 2018","August 5, 2019","August 5, 2019","Azienda Ospedaliera San Paolo - Polo Universitario - Università degli Studi di Milano, Milan, Milano, Italy","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/96/NCT03685396/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/96/NCT03685396/SAP_002.pdf","https://ClinicalTrials.gov/show/NCT03685396"
31,"NCT03684265","A Study to Compare the Amount of Meloxicam in the Blood When it is Taken as Capsules or as Tablets",,"Completed","Has Results","Healthy","Drug: Meloxicam Capsule (Test)|Drug: Meloxicam Tablet (Reference)","Area Under the Concentration-time Curve of the Analyte in Plasma Over the Time Interval From 0 to the Last Quantifiable Data Point (AUC0-t)|Maximum Measured Concentration of the Analyte in Plasma (Cmax)|Area Under the Concentration-time Curve of the Analyte in Plasma Over the Time Interval From 0 Extrapolated to Infinity (AUC0-∞)","Boehringer Ingelheim","All","18 Years to 45 Years   (Adult)","Phase 1","26","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0107-0277","October 5, 2018","October 30, 2018","November 6, 2018","September 25, 2018","November 22, 2019","November 22, 2019","City Clinical Hospital named after V.P. Demikhova Department of Health of Moscow, Moscow, Russian Federation","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT03684265/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/65/NCT03684265/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03684265"
32,"NCT03683758","Effects of the FIFA11+ Warm-up Program on Speed, Agility, and Vertical Jump Performance in Adult Female Amateur Soccer Players","FIFA","Completed","Has Results","Soccer|Exercise|Athletic Performance","Other: FIFA11+|Other: 'Usual' Soccer Warm-up","Percentage Change From Baseline in 10m Sprint Times After an 8 Week Intervention|Percentage Change From Baseline in Agility T-Test Times After an 8 Week Intervention|Percentage Change From Baseline in Squat Jump Height After an 8 Week Intervention|Warm-up Attendance","University of British Columbia|North Shore Girls Soccer Club","Female","18 Years to 45 Years   (Adult)","Not Applicable","21","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Supportive Care","H18-00383","September 6, 2018","November 11, 2018","November 11, 2018","September 25, 2018","September 6, 2019","September 6, 2019","Windsor Bubble, North Vancouver, Canada","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/58/NCT03683758/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03683758"
33,"NCT03679741","Initial Evaluation of Investigational Lenses Manufactured on a New Production Line",,"Completed","Has Results","Visual Acuity","Device: CONTROL Lens|Device: TEST Lens","Overall Comfort Score|Vision Satisfaction in Bright Lighting|Distance Monocular LogMAR Visual Acuity|Contact Lens Fitting Acceptance Rate|Number of Grade 3 or Higher Slit Lamp Findings|Overall Quality of Vision Score|Overall Handling Scores|Overall Quality of Vision Indoors","Johnson & Johnson Vision Care, Inc.","All","18 Years to 49 Years   (Adult)","Not Applicable","126","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","CR-6283","August 29, 2018","October 31, 2018","October 31, 2018","September 20, 2018","December 26, 2019","December 26, 2019","Randall Go, OD, San Francisco, California, United States|VRC-East, Jacksonville, Florida, United States|Sacco Eye Group, Vestal, New York, United States|Pickens Eye Care, Pickens, South Carolina, United States|William J. Bogus, OD, FAAO, Salt Lake City, Utah, United States|Botetourt Eyecare, LLC, Roanoke, Virginia, United States","""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT03679741/SAP_000.pdf|""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT03679741/Prot_001.pdf","https://ClinicalTrials.gov/show/NCT03679741"
34,"NCT03677375","Hemodilution Validation of INVSENSOR00026",,"Completed","Has Results","Healthy","Device: INVSENSOR00026","Accuracy of Noninvasive Hemoglobin Sensor by Arms Calculation","Masimo Corporation","All","18 Years to 50 Years   (Adult)","Not Applicable","173","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","TP-19466","September 4, 2018","February 4, 2019","February 4, 2019","September 19, 2018","May 20, 2019","May 20, 2019","Masimo Corporation, Irvine, California, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/75/NCT03677375/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03677375"
35,"NCT03667547","Safety, Tolerability, and Pharmacokinetics of Raltegravir (MK-0518) in Healthy Japanese Male Participants (MK-0518-851)",,"Completed","Has Results","Human Immunodeficiency Virus (HIV) Infection","Drug: Raltegravir","Number of Participants With an Adverse Event (AE)|Number of Participants Discontinued From the Study Due to an AE|Number of Participants With a Serious Adverse Event (SAE)|Number of Participants With a Drug-related AE|Area Under the Concentration-Time Curve Up to Infinity (AUC0-∞) of Plasma Raltegravir|Maximum Plasma Concentration (Cmax) of Raltegravir|Plasma Concentration of Raltegravir at 24 Hours After Dosing (C24)|Time of Maximum Plasma Concentration (Tmax) of Raltegravir|Apparent Plasma Half-life (t1/2) of Raltegravir|Apparent Total Plasma Clearance (CL/F) of Raltegravir|Apparent Volume of Distribution (Vz/F) of Raltegravir","Merck Sharp & Dohme Corp.","Male","20 Years to 45 Years   (Adult)","Phase 4","12","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","0518-851|MK-0518-851","September 27, 2018","October 23, 2018","October 23, 2018","September 12, 2018","October 2, 2019","October 2, 2019","Medical Corporation Houeikai Sekino Clinical Pharmacology Clinic ( Site 0001), Tokyo, Japan","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/47/NCT03667547/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03667547"
36,"NCT03660787","Efficacy and Dose Ranging Study of Seroguard",,"Completed","Has Results","Adhesion","Drug: Seroguard|Drug: Placebo","Number of Participants With Reduction of Adhesions Number by 3 or More|Change in Thickness of Pelvic Adhesions|Number of Participants With Detection of Pelvic Organs Limited Mobility|Number of Participants With Detection of Hyperechoic Linear Lesions Post Surgery|Change in Number of Participants in Detecting Pelvic Organs Limited Mobility|Change Number of Participants in Detecting Hyperechoic Linear Lesions|Number of Participants With Detection of no Ultrasound Signs of Pelvic Adhesive Disease Post Surgery","Pharmasyntez|Cromos Pharma, LLC","Female","18 Years to 45 Years   (Adult)","Phase 2","114","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","SG-2/1215","May 4, 2017","January 23, 2018","January 23, 2018","September 7, 2018","June 19, 2019","June 19, 2019","Krai Government-Owned State Funded Healthcare Institution ""Krai Clinical Hospital"", Krasnoyarsk, Krasnoyarsk Krai, Russian Federation|State Educational Government-Financed Institution of Higher Professional Education ""Krasnoyarsk State Medical University named after Prof. V.F. Voino-Yasenetsky"" of the Ministry of Healthcare of the Russian Federation at the clinical site Publicly Funded, Krasnoyarsk, Krasnoyarsk Krai, Russian Federation|State Funded Healthcare Institution of Moscow of City Health Department ""V.M. Buyanov Municipal Clinical Hospital"", Moscow, Moscow Region, Russian Federation|Federal State Institution ""V.I. Kulakov Research Center for Obstetrics, Gynecology, and Perinatology"" of the Ministry of Healthcare and Social Development of the Russian Federation., Moscow, Moscow Region, Russian Federation|State Educational Government-Financed Institution of Higher Professional Education ""Kazan State Medical University"" of the Ministry of Health of the Russian at the clinical site of Kazan Maternity Hospital No. 3 named after V.S. Gruzdev, Kazan, Republic Of Tatarstan, Russian Federation|State Funded Health Care Institution ""Bryansk Municipal Hospital No 1, Bryansk, The Bryansk Region, Russian Federation|Federal State Educational Government-Financed Institution of Higher Education ""Kemerovo State Medical University"" of the Ministry of Healthcare of the Russian Federation at the clinical site of Kemerovo Oblast Publicly Funded Healthcare Institution ""L.A., Kemerovo, The Kemerovo Region, Russian Federation|Federal State Funded Healthcare Institution ""L.G. Sokolov Federal Biomedical Agency Clinical Hospital No 122""., Saint Petersburg, The Leningrad Region, Russian Federation|Federal State Funded Scientific Institution ""Research Institute of Obstetrics, Gynecology and Reproductology named after D.O. Ott"" of the Ministry of Healthcare of the Russian Federation, Saint Petersburg, The Leningrad Region, Russian Federation|Moscow Oblast State Funded Healthcare Institution ""Moscow Oblast Research Institute of Obstetrics and Gynecology"", Moscow, The Moscow Region, Russian Federation|State Funded Healthcare Institution of Moscow of City Health Department ""Moscow Municipal Clinical Hospital No 31"", Moscow, The Moscow Region, Russian Federation|State Educational Government-Financed Institution of Higher Professional Education ""Rostov State Medical University"" of the Ministry of Healthcare of the Russian Federation at the clinical site of Obstetrics and Pediatrics Research Institute, Rostov-on-Don, The Rostov Region, Russian Federation|Federal State Educational Government-Financed Institution of Higher Education ""I.P. Pavlov Ryazan State Medical University"" of the Ministry of Healthcare of the Russian Federation at the clinical site of State Funded Healthcare Institution ""Municipal Clin, Ryazan', The Ryazan Region, Russian Federation|Federal State Funded Healthcare Institution ""Ural Research Institute of Maternal and Infant Care"" of the Ministry of Healthcare of the Russian Federation, Yekaterinburg, The Sverdlovsk Region, Russian Federation","""Study Protocol"", https://ClinicalTrials.gov/ProvidedDocs/87/NCT03660787/Prot_000.pdf|""Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/87/NCT03660787/SAP_001.pdf","https://ClinicalTrials.gov/show/NCT03660787"
